ID,IC50_nM
TEST_000,14.054001643876239
TEST_001,17.200853619846978
TEST_002,45.86168425434095
TEST_003,9.322877977625057
TEST_004,73.42883986786087
TEST_005,16.188253626420934
TEST_006,45.11628519712973
TEST_007,5.792730625463016
TEST_008,30.199517204020253
TEST_009,3.356603166999348
TEST_010,2.4968933920073537
TEST_011,5.862731433534482
TEST_012,6.199404868138122
TEST_013,34.30283386831545
TEST_014,54.342756841446594
TEST_015,94.55837495975393
TEST_016,395.27559401972735
TEST_017,72.88818616276276
TEST_018,4.28564966870254
TEST_019,28.160476553405015
TEST_020,7.115801252187617
TEST_021,46.36888647549403
TEST_022,30.57736095690074
TEST_023,20.044720273651755
TEST_024,131.15957477555637
TEST_025,6.34453795775715
TEST_026,11.295011219994409
TEST_027,8.78112177677688
TEST_028,6.842266727659408
TEST_029,7.19117735782509
TEST_030,19.676597414664815
TEST_031,10.608402763553238
TEST_032,59.37678335476687
TEST_033,55.118831232760655
TEST_034,52.03553211345548
TEST_035,4.473183009692445
TEST_036,130.8579161245101
TEST_037,48.39773084732015
TEST_038,18.17188584784411
TEST_039,27.310731546877665
TEST_040,5.9233400652783175
TEST_041,69.79109301999323
TEST_042,18.306275753623613
TEST_043,7.115801252187617
TEST_044,44.623811940643414
TEST_045,11.623047161659999
TEST_046,5.33826341364038
TEST_047,7.68599327261751
TEST_048,2.911387412618779
TEST_049,18.526782370722565
TEST_050,2.3762930619276426
TEST_051,26.351175898638562
TEST_052,47.907113000307795
TEST_053,34.60190424829469
TEST_054,26.351175898638562
TEST_055,7.053424142580937
TEST_056,5.040806191026659
TEST_057,106.94241814694956
TEST_058,23.087487146666298
TEST_059,41.37137927273549
TEST_060,11.981191231900219
TEST_061,64.86344335482428
TEST_062,8.615887110661493
TEST_063,214.98096103893533
TEST_064,8.17774065323836
TEST_065,15.03661222599846
TEST_066,34.347225918501856
TEST_067,31.739494085622255
TEST_068,223.64026592728558
TEST_069,4.644083289410405
TEST_070,28.492682149348365
TEST_071,18.967059212111483
TEST_072,17.852539390861892
TEST_073,25.374646458649696
TEST_074,14.018450097984786
TEST_075,131.35300115464852
TEST_076,12.274392311584009
TEST_077,10.486969381277694
TEST_078,73.55857939967869
TEST_079,13.412199354053751
TEST_080,47.907113000307795
TEST_081,11.537188808285853
TEST_082,8.490827151487766
TEST_083,3.732501577957168
TEST_084,146.92645493623027
TEST_085,51.30976197779974
TEST_086,8.295068944198771
TEST_087,51.203541493830876
TEST_088,3.1893339801331555
TEST_089,43.036967944214986
TEST_090,8.094064607918238
TEST_091,12.79381304157499
TEST_092,60.96304717936425
TEST_093,15.205475297324814
TEST_094,90.97037814779893
TEST_095,5.699017623797416
TEST_096,8.17774065323836
TEST_097,15.205475297324814
TEST_098,3.5091343835855353
TEST_099,20.464446367246865
TEST_100,20.38215030956888
TEST_101,15.936758810287763
TEST_102,3.5091343835855353
TEST_103,17.037269765132674
TEST_104,12.192983890297443
TEST_105,8.546730307669723
TEST_106,43.036967944214986
TEST_107,160.1216290893988
TEST_108,64.15418615659284
TEST_109,6.564475019516936
TEST_110,7.115801252187617
TEST_111,9.397233105646395
TEST_112,22.56143227590393
