pIC50,Chi2n,NumAromaticHeterocycles,SlogP_VSA5,BCUT2D_LOGPLOW,SMR_VSA3,Chi0,Kappa1
10.59,11.341360266388149,2,59.38936811139392,-2.50092588424232,24.397877684564826,27.31082583001261,25.694354699471408
10.11,10.947914085170511,2,40.126903242615874,-2.5631245560650173,24.397877684564826,27.31082583001261,25.65648802548512
10.09,10.412357819813645,2,40.126903242615874,-2.4762529177201644,24.397877684564826,27.89661226763952,26.879585724362588
10.0,11.674655952322537,2,52.9685464884679,-2.567950708918021,24.397877684564826,29.10371904882607,27.45939405598419
10.0,9.519912853349336,3,54.92475924247284,-2.455374906019953,29.278452697160567,24.15612529163336,21.574464211172263
10.0,6.153935079054728,1,23.70254749838545,-2.3446071048156067,10.30076712495354,18.844570503761737,17.908082411390296
9.96,11.71277210156518,2,52.9685464884679,-2.6122129802867344,24.397877684564826,29.10371904882607,27.45939405598419
9.8,9.31530389285074,2,46.54772486554189,-2.3662960996412505,19.497967953714348,23.87166824125719,22.30004200798152
9.72,9.333036771116078,2,40.126903242615874,-2.419217114886505,19.497967953714348,24.74191172926027,23.184940253005514
9.7,9.769393235029424,3,48.503937619546825,-2.308801920513843,29.278452697160567,24.15612529163336,21.574464211172263
9.7,7.194849484795636,3,48.16064790718051,-2.422930901574344,24.378542966310093,20.543241116511005,19.245734749746045
9.7,7.114026336757132,3,48.16064790718051,-2.4229271068556995,19.74844178534064,20.543241116511005,19.647566740966568
9.7,7.03687423767641,3,41.7398262842545,-2.3081604988396487,29.695331570316423,20.380104409694475,19.245734749746045
9.7,6.153935079054728,1,23.70254749838545,-2.344607104815609,10.30076712495354,18.844570503761737,17.908082411390296
9.7,6.293979397780351,0,23.70254749838545,-2.343334277311861,5.316788604006331,18.844570503761737,17.975914300042195
9.7,8.703912610450493,3,49.00685319631145,-2.380460066969998,29.278452697160567,23.819261998449893,21.8727060921466
9.7,9.199105711755474,3,49.00685319631145,-2.433596903278051,29.278452697160567,25.39661226763952,23.737936506883788
9.62,5.819811928264204,3,20.976930357840565,-2.212411903883163,19.74844178534064,21.181433796945203,22.67674557501805
9.52,7.221770141490544,3,46.52974034639314,-2.422932406731378,24.378542966310093,20.543241116511005,18.87306205617493
9.52,10.355982948597692,3,48.503937619546825,-2.462628737088289,34.17836242801105,27.095282880388783,25.107877995081008
9.52,5.9409489344665,1,17.28172587545944,-2.3370641320123693,10.30076712495354,18.13746372257519,16.940378092663696
9.52,6.718899368191079,3,36.04127516747286,-2.4229259966374657,19.74844178534064,18.96589084732138,18.14816046181083
9.52,7.355278440422048,3,41.73520316232132,-2.4229322677477274,24.378542966310093,21.46589084732138,20.13616280733652
9.49,8.61658855240221,3,17.808677612622933,-2.3535895985436786,19.93591408378884,23.8192619984499,25.210338027021884
9.49,9.466686417335564,2,46.54772486554189,-2.3664014019876274,19.497967953714348,24.57877502244374,23.25163658004364
9.44,6.8019366380745465,4,20.976930357840565,-2.2124122396116728,24.73242030628785,24.294317972067564,25.16836000814467
9.42,7.187376718414262,2,26.27942884323463,-2.365877160496333,19.497967953714348,19.9574546788841,17.625807706429757
9.4,6.6024976990446325,3,35.31900466132849,-2.381507106698664,25.06523038934697,19.67299762850793,18.69166834421624
9.4,6.8884996222159,3,41.73520316232132,-2.422926660412638,19.74844178534064,19.672997628507925,18.338747786234524
9.33,9.267585129910753,2,39.12107208908665,-2.366555733811244,19.497967953714348,23.777445635193004,21.995027209607805
9.3,7.169343151489706,3,28.89818303840248,-2.5240027818893904,24.378542966310093,21.62902755413791,20.069059099616123
9.3,6.111446064796071,1,30.12336912131146,-2.343962364166908,10.30076712495354,17.974327015758657,17.00803372505024
9.3,7.192695267105481,3,48.29112441033197,-2.4259123978889043,24.378542966310093,20.543241116511005,19.245734749746045
9.3,7.127141304371917,3,22.47273829354329,-2.479270568028784,24.378542966310093,21.62902755413791,20.069059099616123
9.26,8.071023232589022,2,35.59331906484699,-2.218516777527165,19.66437299524391,22.974327015758654,22.69956028426085
9.22,9.041798449765398,3,32.22804289761662,-2.401335146474157,29.215451163982472,21.750347897697548,19.924167650272864
9.22,9.415368495694352,3,45.57260172023325,-2.3810120126750576,29.215451163982472,21.750347897697548,19.99015746753688
9.22,9.464183539195046,4,38.64886452054263,-2.311373994303125,39.60028707903274,23.12274509681375,20.91234355948472
9.22,11.355350288223237,4,44.47326901854255,-2.603250173141144,39.600287079032746,25.36323207281991,22.466164221643936
9.22,6.727451151144154,1,17.28172587545944,-2.379369104144885,10.30076712495354,18.63746372257519,16.562104196943675
9.15,8.022527557251507,3,46.6602168495446,-2.425916049243496,24.378542966310093,26.62059138570063,26.39572056872344
9.15,7.103936609446417,3,41.865679665472776,-2.423653430720776,19.39456444536288,19.672997628507925,18.00530517350135
9.15,7.034720019986255,3,41.87030278740596,-2.314490861451783,29.69533157031642,20.380104409694475,19.245734749746045
9.13,9.019038690907418,3,17.808677612622933,-2.353750202114691,19.93591408378884,24.52636877963645,23.09920614651622
9.1,10.20302597048012,3,38.64886452054263,-2.4107454588639308,34.115360894832946,24.741911729260263,23.28022451622961
9.1,7.271935145915944,4,6.4208216229260096,-2.221789348921388,29.465924995608766,19.794317972067567,17.691146996967557
9.1,6.762926654671046,3,28.8935599164693,-2.381509383414929,25.06523038934697,20.595647359318303,19.580560152411564
9.1,6.9693227702544025,3,41.73520316232132,-2.4229304293390475,24.378542966310093,19.672997628507925,17.93866472771829
9.05,8.713873316924591,4,29.76891456684706,-2.417231808494188,34.25102139323894,26.95745467888409,25.66631049711502
9.05,6.817934686275151,3,35.449481164479955,-2.3824547535701504,24.71135304936921,19.67299762850793,18.357813569920665
9.0,6.797568298539428,3,36.17175167062432,-2.425909501273197,24.378542966310093,18.96589084732138,17.748353659147956
